key,model,horizon,origin,target,n_train,actual,predicted,error
meta,mean,1,2023-08,2023-09,7,-1.1411719030869056,-1.4530520688480304,0.31188016576112476
meta,drift,1,2023-08,2023-09,7,-1.1411719030869056,-0.9702721413745627,-0.1708997617123429
meta,ses,1,2023-08,2023-09,7,-1.1411719030869056,-1.1161272077979134,-0.025044695288992225
meta,holt_damped,1,2023-08,2023-09,7,-1.1411719030869056,-1.0847465283738713,-0.056425374713034326
meta,loglinear,1,2023-08,2023-09,7,-1.1411719030869056,-0.8710647429461782,-0.27010716014072744
meta,ar1,1,2023-08,2023-09,7,-1.1411719030869056,-1.27831589310736,0.1371439900204543
meta,naive,1,2023-09,2023-10,8,-1.540445040947149,-1.1411719030869056,-0.39927313786024343
meta,mean,1,2023-09,2023-10,8,-1.540445040947149,-1.4140670481278899,-0.1263779928192592
meta,drift,1,2023-09,2023-10,8,-1.540445040947149,-1.025460546038647,-0.5149844949085021
meta,ses,1,2023-09,2023-10,8,-1.540445040947149,-1.139919668322456,-0.4005253726246931
meta,holt_damped,1,2023-09,2023-10,8,-1.540445040947149,-1.1172355398422185,-0.4232095011049306
meta,loglinear,1,2023-09,2023-10,8,-1.540445040947149,-0.8551457389938015,-0.6852993019533475
meta,ar1,1,2023-09,2023-10,8,-1.540445040947149,-1.2715591767436976,-0.2688858642034515
meta,naive,1,2023-10,2023-11,9,-1.4508328822574619,-1.540445040947149,0.0896121586896872
meta,mean,1,2023-10,2023-11,9,-1.4508328822574619,-1.4281090473300297,-0.02272383492743213
meta,drift,1,2023-10,2023-11,9,-1.4508328822574619,-1.4819541833331684,0.031121301075706542
meta,ses,1,2023-10,2023-11,9,-1.4508328822574619,-1.5204187723159144,0.0695858900584525
meta,holt_damped,1,2023-10,2023-11,9,-1.4508328822574619,-1.5045212896575895,0.05368840740012759
meta,loglinear,1,2023-10,2023-11,9,-1.4508328822574619,-1.019470823699189,-0.4313620585582729
meta,ar1,1,2023-10,2023-11,9,-1.4508328822574619,-1.4798948701712147,0.029061987913752807
meta,naive,1,2023-11,2023-12,10,-1.7866961672715083,-1.4508328822574619,-0.3358632850140464
meta,mean,1,2023-11,2023-12,10,-1.7866961672715083,-1.4303814308227731,-0.3563147364487351
meta,drift,1,2023-11,2023-12,10,-1.7866961672715083,-1.3892298945359105,-0.39746627273559776
meta,ses,1,2023-11,2023-12,10,-1.7866961672715083,-1.4543121767603844,-0.3323839905111239
meta,holt_damped,1,2023-11,2023-12,10,-1.7866961672715083,-1.458682960455529,-0.32801320681597934
meta,loglinear,1,2023-11,2023-12,10,-1.7866961672715083,-1.102914586052711,-0.6837815812187973
meta,ar1,1,2023-11,2023-12,10,-1.7866961672715083,-1.4397744591985204,-0.34692170807298783
meta,naive,2,2023-06,2023-08,5,-1.1073459686368643,-1.3350010667323402,0.2276550980954759
meta,mean,2,2023-06,2023-08,5,-1.1073459686368643,-1.556616933567457,0.4492709649305926
meta,drift,2,2023-06,2023-08,5,-1.1073459686368643,-1.0422563896360861,-0.06508957900077816
meta,ses,2,2023-06,2023-08,5,-1.1073459686368643,-1.3216719733776503,0.214326004740786
meta,holt_damped,2,2023-06,2023-08,5,-1.1073459686368643,-1.2538765673660555,0.14653059872919116
meta,loglinear,2,2023-06,2023-08,5,-1.1073459686368643,-0.7353531865654079,-0.37199278207145636
meta,ar1,2,2023-06,2023-08,5,-1.1073459686368643,-1.50770687110222,0.4003609024653556
meta,naive,2,2023-07,2023-09,6,-1.1411719030869056,-1.2809338454620642,0.1397619423751586
meta,mean,2,2023-07,2023-09,6,-1.1411719030869056,-1.5106697522165582,0.36949784912965256
meta,drift,2,2023-07,2023-09,6,-1.1411719030869056,-1.0189575407917604,-0.12221436229514526
meta,ses,2,2023-07,2023-09,6,-1.1411719030869056,-1.2829707518578435,0.14179884877093785
meta,holt_damped,2,2023-07,2023-09,6,-1.1411719030869056,-1.2413352955065757,0.1001633924196701
meta,loglinear,2,2023-07,2023-09,6,-1.1411719030869056,-0.7848433692446191,-0.3563285338422866
meta,ar1,2,2023-07,2023-09,6,-1.1411719030869056,-1.4578864901037933,0.3167145870168877
meta,naive,2,2023-08,2023-10,7,-1.540445040947149,-1.1073459686368643,-0.43309907231028477
meta,mean,2,2023-08,2023-10,7,-1.540445040947149,-1.4530520688480304,-0.08739297209911867
meta,drift,2,2023-08,2023-10,7,-1.540445040947149,-0.8331983141122611,-0.707246726834888
